# big5	font	index
A7C2	STDFONT	567
A7C3	STDFONT	568
A7C4	STDFONT	569
A7C5	STDFONT	570
A7C6	STDFONT	571
A7C7	STDFONT	572
A7C8	STDFONT	573
A7C9	STDFONT	574
A7CA	STDFONT	575
A7CB	STDFONT	576
A7CC	STDFONT	577
A7CD	STDFONT	578
A7CE	STDFONT	579
A7CF	STDFONT	580
A7D0	STDFONT	581
A7D1	STDFONT	582
A7D2	STDFONT	583
A7D3	STDFONT	584
A7D4	STDFONT	585
A7D5	STDFONT	586
A7D6	STDFONT	587
A7D7	STDFONT	588
A7D8	STDFONT	589
A7D9	STDFONT	590
A7DA	STDFONT	591
A7DB	STDFONT	592
A7DC	STDFONT	593
A7DD	STDFONT	594
A7DE	STDFONT	595
A7DF	STDFONT	596
A7E0	STDFONT	597
A7E1	STDFONT	598
A7E2	STDFONT	599
A7E3	STDFONT	600
A7E4	STDFONT	601
A7E5	STDFONT	602
A7E6	STDFONT	603
A7E7	STDFONT	604
A7E8	STDFONT	605
A7E9	STDFONT	606
A7EA	STDFONT	607
A7EB	STDFONT	608
A7EC	STDFONT	609
A7ED	STDFONT	610
A7EE	STDFONT	611
A7EF	STDFONT	612
A7F0	STDFONT	613
A7F1	STDFONT	614
A7F2	STDFONT	615
A7F3	STDFONT	616
A7F4	STDFONT	617
A7F5	STDFONT	618
A7F6	STDFONT	619
A7F7	STDFONT	620
A7F8	STDFONT	621
A7F9	STDFONT	622
A7FA	STDFONT	623
A7FB	STDFONT	624
A7FC	STDFONT	625
A7FD	STDFONT	626
A7FE	STDFONT	627
A840	STDFONT	628
A841	STDFONT	629
A842	STDFONT	630
A843	STDFONT	631
A844	STDFONT	632
A845	STDFONT	633
A846	STDFONT	634
A847	STDFONT	635
A848	STDFONT	636
A849	STDFONT	637
A84A	STDFONT	638
A84B	STDFONT	639
A84C	STDFONT	640
A84D	STDFONT	641
A84E	STDFONT	642
A84F	STDFONT	643
A850	STDFONT	644
A851	STDFONT	645
A852	STDFONT	646
A853	STDFONT	647
A854	STDFONT	648
A855	STDFONT	649
A856	STDFONT	650
